day,demand,generated,shared,unmet,service_ratio
1,552057.662,114877.816,4441.042,439111.743,0.2046
2,517063.435,191203.193,8207.409,339351.612,0.3437
3,524018.846,143862.381,8386.374,372583.167,0.289
4,529884.467,161084.403,7444.04,375413.848,0.2915
5,519588.199,200225.565,9674.341,329872.037,0.3651
6,503476.729,162705.255,8460.948,335499.297,0.3336
7,533142.569,220988.87,9964.235,320760.311,0.3984
8,579399.255,233124.768,10970.644,348420.077,0.3987
9,615353.948,236352.314,10745.088,374323.054,0.3917
10,574858.3,225186.691,10054.717,364537.759,0.3659
11,524902.177,241691.811,10958.143,298117.7,0.4321
12,510567.55,241056.139,11410.618,283334.715,0.4451
13,495512.553,240718.555,11416.441,267825.001,0.4595
14,509795.587,241015.152,11887.125,276660.155,0.4573
15,532077.978,0.0,6629.69,490420.402,0.0783
16,522834.088,243309.683,9946.244,304351.587,0.4179
17,496867.166,145788.028,8887.745,345983.826,0.3037
18,542392.826,236983.515,10698.839,313643.418,0.4217
19,542937.31,122794.282,7550.187,404701.23,0.2546
20,542789.639,264014.115,10919.92,297262.829,0.4523
21,557142.526,251747.058,11798.701,310013.4,0.4436
22,535067.428,264219.05,11038.048,284527.505,0.4682
23,527594.296,261770.259,12190.702,275846.896,0.4772
24,559680.177,214362.378,11728.72,334583.251,0.4022
25,567727.775,198589.063,10174.799,363447.138,0.3598
26,567022.491,245215.954,11272.501,330578.052,0.417
27,542527.923,268632.24,11581.492,288572.677,0.4681
28,476098.795,257473.324,11487.125,247627.769,0.4799
29,514396.438,114074.469,8143.848,372697.327,0.2755
30,510927.293,130077.312,7233.765,374299.766,0.2674
