day,date,alive_percent,resilience
1,2025-01-01,49.7749,0.497749
2,2025-01-02,67.0878,0.670878
3,2025-01-03,72.2962,0.722962
4,2025-01-04,73.0131,0.730131
5,2025-01-05,78.2665,0.782665
6,2025-01-06,81.668,0.81668
7,2025-01-07,77.5624,0.775624
8,2025-01-08,82.5682,0.825682
9,2025-01-09,83.7513,0.837513
10,2025-01-10,79.7518,0.797518
11,2025-01-11,84.4522,0.844522
12,2025-01-12,86.1047,0.861047
13,2025-01-13,88.4195,0.884195
14,2025-01-14,87.32,0.8732
15,2025-01-15,63.7281,0.637281
16,2025-01-16,80.7677,0.807677
17,2025-01-17,83.7031,0.837031
18,2025-01-18,84.4393,0.844393
19,2025-01-19,78.8805,0.788805
20,2025-01-20,83.896,0.83896
21,2025-01-21,84.2721,0.842721
22,2025-01-22,87.4325,0.874325
23,2025-01-23,89.2168,0.892168
24,2025-01-24,85.5195,0.855195
25,2025-01-25,82.7868,0.827868
26,2025-01-26,84.7994,0.847994
27,2025-01-27,86.9406,0.869406
28,2025-01-28,89.2908,0.892908
29,2025-01-29,82.7128,0.827128
30,2025-01-30,78.7905,0.787905
