pv_scale,battery,resilience_norm0,resilience_norm1,delta_share_minus_noshare,alive_norm0,alive_norm1,perma_norm0,perma_norm1
1,1,0.154078,0.119403,-0.034675,24.1749,19.9867,100.0000,100.0000
1,2,0.208879,0.122108,-0.086771,29.6998,20.2652,92.9012,100.0000
1,5,0.236319,0.122265,-0.114054,32.4999,20.2816,86.6512,100.0000
1,10,0.237356,0.122265,-0.115091,32.5843,20.2816,86.6512,100.0000
1,20,0.237356,0.122265,-0.115091,32.5843,20.2816,86.6512,100.0000
1,40,0.237356,0.122265,-0.115091,32.5843,20.2816,86.6512,100.0000
2,1,0.183801,0.152201,-0.031600,24.9922,20.6374,100.0000,100.0000
2,2,0.271033,0.163008,-0.108025,33.6622,21.7614,91.3580,100.0000
2,5,0.495872,0.181286,-0.314587,55.6632,23.6171,54.1667,99.3056
2,10,0.505262,0.185098,-0.320164,56.4402,23.9976,54.1667,98.6111
2,20,0.505753,0.185116,-0.320637,56.4809,23.9991,54.1667,98.6111
2,40,0.505764,0.185116,-0.320648,56.4818,23.9991,54.1667,98.6111
3,1,0.200852,0.170742,-0.030110,25.4113,21.1424,100.0000,100.0000
3,2,0.291763,0.185337,-0.106426,34.4169,22.6482,91.2809,100.0000
3,5,0.549809,0.223186,-0.326623,59.6074,26.4701,49.8457,98.5340
3,10,0.579699,0.280593,-0.299107,62.4483,32.1606,46.2191,89.5833
3,20,0.581635,0.283314,-0.298321,62.5874,32.4241,46.2191,89.2747
3,40,0.581652,0.283378,-0.298274,62.5889,32.4293,46.2191,89.2747
5,1,0.220039,0.190874,-0.029165,25.9077,21.9416,100.0000,100.0000
5,2,0.332800,0.209943,-0.122857,37.0993,23.9224,86.9599,100.0000
5,5,0.594449,0.269977,-0.324472,62.6498,29.9606,46.3735,97.1451
5,10,0.622660,0.416336,-0.206324,65.2796,44.4049,44.2130,75.6944
5,20,0.626557,0.473971,-0.152586,65.6031,50.0985,43.9815,66.2037
5,40,0.626683,0.478930,-0.147754,65.6104,50.5709,43.9815,65.6636
8,1,0.234009,0.204555,-0.029454,26.3282,22.6532,100.0000,100.0000
8,2,0.348559,0.226903,-0.121655,37.6888,24.9545,86.9599,100.0000
8,5,0.614647,0.304293,-0.310354,63.7286,32.7382,46.3735,96.0648
8,10,0.656614,0.488127,-0.168487,67.7148,50.8768,43.7500,70.7562
8,20,0.710594,0.627842,-0.082752,73.1711,64.5457,33.1790,49.3827
8,40,0.724018,0.669658,-0.054361,74.4859,68.7041,30.9414,42.0525
12,1,0.242125,0.213330,-0.028795,26.5750,23.1892,100.0000,100.0000
12,2,0.357408,0.237742,-0.119666,38.0018,25.7027,86.9599,100.0000
12,5,0.625836,0.326448,-0.299388,64.3176,34.6609,46.3735,95.2160
12,10,0.675687,0.537157,-0.138529,69.0911,55.4286,43.6728,66.5895
12,20,0.784854,0.739020,-0.045834,79.8173,75.1666,26.1574,35.6481
12,40,0.819160,0.822495,0.003334,83.1260,83.2860,20.6019,22.4537
20,1,0.249281,0.221750,-0.027531,26.7788,23.7096,100.0000,100.0000
20,2,0.365022,0.247196,-0.117826,38.2537,26.3253,86.9599,100.0000
20,5,0.634026,0.345269,-0.288757,64.7635,36.2280,46.3735,93.9043
20,10,0.686848,0.562336,-0.124513,69.8454,57.6565,43.6728,64.7377
20,20,0.818606,0.817326,-0.001281,82.7769,82.5793,23.9969,25.3086
20,40,0.891968,0.953519,0.061551,89.7924,95.7952,13.5031,3.1636
